Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE,WRITE_SIZE,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum
0,"initialize_polynomial_kernel",8,0,0,3596500,3596500,207667200,256,0,0,40,0,48,64,0x0,0x7f2f7103d900,8.8750000000,604304.2812500000,19468800.0000000000,0.0000000000,12168000.0000000000
1,"__amd_rocclr_fillBufferAligned.kd",8,0,1,3596500,3596500,26624,256,0,0,12,4,32,64,0x0,0x7f2f7013da80,3.6875000000,612168.8125000000,19468800.0000000000,0.0000000000,10342800.0000000000
2,"__amd_rocclr_fillBufferAligned.kd",8,0,3,3596500,3596500,26624,256,0,0,12,4,32,64,0x0,0x7f2f7013da80,3.1875000000,608681.2500000000,19468800.0000000000,0.0000000000,10342800.0000000000
3,"__amd_rocclr_fillBufferAligned.kd",8,0,5,3596500,3596500,26624,256,0,0,12,4,32,64,0x0,0x7f2f7013da80,4.0000000000,612387.0937500000,19468800.0000000000,0.0000000000,10342800.0000000000
4,"compute_fd_x_kernel",8,0,8,3596500,3596500,134217728,256,0,0,8,0,32,64,0x0,0x7f2f7103d940,540679.8750000000,522106.8750000000,50331648.0000000000,8912896.0000000000,8388608.0000000000
5,"compute_fd_x_kernel",8,0,11,3596500,3596500,134217728,256,0,0,8,0,32,64,0x0,0x7f2f7103d940,540679.5625000000,522098.6250000000,50331648.0000000000,8912896.0000000000,8388608.0000000000
6,"compute_fd_x_kernel",8,0,14,3596500,3596500,134217728,256,0,0,8,0,32,64,0x0,0x7f2f7103d940,540679.3750000000,522095.6250000000,50331648.0000000000,8912896.0000000000,8388608.0000000000
7,"compute_fd_x_kernel",8,0,17,3596500,3596500,134217728,256,0,0,8,0,32,64,0x0,0x7f2f7103d940,540679.5000000000,522096.8750000000,50331648.0000000000,8912896.0000000000,8388608.0000000000
8,"compute_fd_x_kernel",8,0,20,3596500,3596500,134217728,256,0,0,8,0,32,64,0x0,0x7f2f7103d940,540679.1875000000,522095.7500000000,50331648.0000000000,8912896.0000000000,8388608.0000000000
9,"compute_fd_x_kernel",8,0,23,3596500,3596500,134217728,256,0,0,8,0,32,64,0x0,0x7f2f7103d940,540679.8125000000,522096.6250000000,50331648.0000000000,8912896.0000000000,8388608.0000000000
10,"compute_fd_x_kernel",8,0,26,3596500,3596500,134217728,256,0,0,8,0,32,64,0x0,0x7f2f7103d940,540679.6875000000,522107.7500000000,50331648.0000000000,8912896.0000000000,8388608.0000000000
11,"compute_fd_x_kernel",8,0,29,3596500,3596500,134217728,256,0,0,8,0,32,64,0x0,0x7f2f7103d940,540679.3125000000,522118.1250000000,50331648.0000000000,8912896.0000000000,8388608.0000000000
